CONTRDATED,TOTALACRES,SEASON,CLASS,,,,,,,,,,,
7/28/1980,0,SUMMER,A,,,,,,,,,,,
7/28/1980,0,SUMMER,A,,,,,,,,,,,
7/28/1980,0,SUMMER,A,,,,,,,,,,,
7/28/1980,0,SUMMER,A,,,,,,,,,,,
7/28/1980,0.1,SUMMER,A,,,,,,,,,,,
7/28/1980,0,SUMMER,A,,,,,,,,,,,
7/28/1980,0,SUMMER,A,,,,,,,,,,,
7/28/1980,44,SUMMER,C,,,,,,,,,,,
7/28/1980,0,SUMMER,A,,,,,,,,,,,
7/29/1980,0,SUMMER,A,,,,,,,,,,,
7/29/1980,0,SUMMER,A,,,,,,,,,,,
7/29/1980,2,SUMMER,B,,,,,,,,,,,
7/30/1980,2,SUMMER,B,,,,,,,,,,,
7/30/1980,2,SUMMER,B,,,,,,,,,,,
7/30/1980,0,SUMMER,A,,,,,,,,,,,
7/31/1980,11130,SUMMER,G,,,,,,,,,,,
7/31/1980,8919,SUMMER,G,,,,,,,,,,,
7/31/1980,1250,SUMMER,F,,,,,,,,,,,
8/2/1980,0,SUMMER,A,,,,,,,,,,,
8/5/1980,0,SUMMER,A,,,,,,,,,,,
8/9/1980,3,SUMMER,B,,,,,,,,,,,
8/10/1980,0,SUMMER,A,,,,,,,,,,,
8/10/1980,0,SUMMER,A,,,,,,,,,,,
8/11/1980,130,SUMMER,D,,,,,,,,,,,
8/13/1980,30,SUMMER,C,,,,,,,,,,,
8/13/1980,200,SUMMER,D,,,,,,,,,,,
8/15/1980,0,SUMMER,A,,,,,,,,,,,
8/15/1980,0,SUMMER,A,,,,,,,,,,,
8/15/1980,0,SUMMER,A,,,,,,,,,,,
8/15/1980,0,SUMMER,A,,,,,,,,,,,
8/16/1980,0,SUMMER,A,,,,,,,,,,,
8/17/1980,0,SUMMER,A,,,,,,,,,,,
8/20/1980,0,SUMMER,A,,,,,,,,,,,
8/22/1980,0,SUMMER,A,,,,,,,,,,,
8/24/1980,0,SUMMER,A,,,,,,,,,,,
8/24/1980,0,SUMMER,A,,,,,,,,,,,
8/25/1980,100,SUMMER,D,,,,,,,,,,,
8/27/1980,0.1,SUMMER,A,,,,,,,,,,,
8/29/1980,2270,SUMMER,F,,,,,,,,,,,
8/29/1980,150,SUMMER,D,,,,,,,,,,,
8/30/1980,0,SUMMER,A,,,,,,,,,,,
8/31/1980,0,SUMMER,A,,,,,,,,,,,
9/1/1980,610,FALL,E,,,,,,,,,,,
9/2/1980,963,FALL,E,,,,,,,,,,,
9/2/1980,0,FALL,A,,,,,,,,,,,
9/4/1980,0,FALL,A,,,,,,,,,,,
9/5/1980,2,FALL,B,,,,,,,,,,,
9/6/1980,28650,FALL,G,,,,,,,,,,,
9/6/1980,0,FALL,A,,,,,,,,,,,
9/6/1980,15,FALL,C,,,,,,,,,,,
9/7/1980,0,FALL,A,,,,,,,,,,,
9/7/1980,0,FALL,A,,,,,,,,,,,
9/7/1980,0,FALL,A,,,,,,,,,,,
9/10/1980,0,FALL,A,,,,,,,,,,,
9/12/1980,0,FALL,A,,,,,,,,,,,
9/12/1980,0,FALL,A,,,,,,,,,,,
9/12/1980,0,FALL,A,,,,,,,,,,,
9/12/1980,0,FALL,A,,,,,,,,,,,
9/12/1980,0,FALL,A,,,,,,,,,,,
9/28/1980,350,FALL,E,,,,,,,,,,,
9/28/1980,200,FALL,D,,,,,,,,,,,
10/4/1980,644,FALL,E,,,,,,,,,,,
10/8/1980,0,FALL,A,,,,,,,,,,,
10/8/1980,653,FALL,E,,,,,,,,,,,
10/10/1980,0,FALL,A,,,,,,,,,,,
10/10/1980,0,FALL,A,,,,,,,,,,,
10/13/1980,5,FALL,B,,,,,,,,,,,
10/13/1980,0,FALL,A,,,,,,,,,,,
10/15/1980,0,FALL,A,,,,,,,,,,,
10/15/1980,0,FALL,A,,,,,,,,,,,
10/16/1980,0,FALL,A,,,,,,,,,,,
10/16/1980,0,FALL,A,,,,,,,,,,,
10/16/1980,5,FALL,B,,,,,,,,,,,
10/16/1980,0,FALL,A,,,,,,,,,,,
10/19/1980,250,FALL,D,,,,,,,,,,,
10/20/1980,5,FALL,B,,,,,,,,,,,
10/22/1980,25,FALL,C,,,,,,,,,,,
10/24/1980,0,FALL,A,,,,,,,,,,,
10/24/1980,0,FALL,A,,,,,,,,,,,
11/24/1980,0.1,FALL,A,,,,,,,,,,,
11/28/1980,2434,FALL,F,,,,,,,,,,,
12/13/1980,0,WINTER,A,,,,,,,,,,,
